Trade Date,Exchange,Buy / Sell,Scrip / Contract,Qty,Price,Trade Id,symbol,side,qty,price
02-03-2026,NSEEQ,Buy,YESBANK-EQ,500.0,20.02,608721157.0,YESBANK,BUY,500,20.02
02-03-2026,NSEEQ,Buy,YESBANK-EQ,10.0,20.02,608719863.0,YESBANK,BUY,10,20.02
02-03-2026,NSEEQ,Buy,YESBANK-EQ,193.0,20.02,608718913.0,YESBANK,BUY,193,20.02
02-03-2026,NSEEQ,Buy,YESBANK-EQ,114.0,20.02,608718938.0,YESBANK,BUY,114,20.02
05-02-2026,NSEEQ,Buy,YESBANK-EQ,1000.0,21.2,608210991.0,YESBANK,BUY,1000,21.2
09-02-2026,NSEEQ,Buy,YESBANK-EQ,1.0,21.59,606933981.0,YESBANK,BUY,1,21.59
09-02-2026,NSEEQ,Sell,YESBANK-EQ,1000.0,21.63,603376468.0,YESBANK,SELL,1000,21.63
12-02-2026,NSEEQ,Buy,YESBANK-EQ,995.0,21.1,608849147.0,YESBANK,BUY,995,21.1
12-02-2026,NSEEQ,Buy,YESBANK-EQ,5.0,21.1,608847167.0,YESBANK,BUY,5,21.1
13-02-2026,NSEEQ,Buy,YESBANK-EQ,200.0,20.82,602232742.0,YESBANK,BUY,200,20.82
